One Way Anova,,,,,,,,,,
,,,,,,,,,,
,,Industry ,Mean Salary (X bar),# of Jobs (Ni),Ti,Ti ^ 2 / Ni,,sigma (Ni * X bar i),,for SSA
,,Education,89665.72878,3714,333018516.7,29860300000000.00,,333018516.7,,766313789.5
,,Entertainment,90131.00099,3895,351060248.9,31641400000000.00,,351060248.9,,474329.23
,,Finance,90510.59937,3721,336789940.3,30483100000000.00,,336789940.3,,567804927.2
,,Healthcare,89494.07393,3771,337482152.8,30202700000000.00,,337482152.8,,1477253159
,,IT,90941.67255,3681,334756296.7,30443300000000.00,,334756296.7,,2485419483
,,Manufacturing,89880.03451,3855,346487533,31142300000000.00,,346487533,,221920576.5
,,Retail,90903.67746,3702,336525414,30591400000000.00,,336525414,,2273784026
,,Transportation,89450.66017,3661,327478866.9,29293200000000.00,,327478866.9,,1640017470
,,,,,,,,,,
,N,30000,,,,,,,,
,T,2703598969,,,,,,,,
,C,T^2 / N,243648000000000.00,,,,,,,
,,,,,,,,,,
,k,8,,,,,,,,
,,,,,,,,,,
,X bar grand ,sigma (Ni * X bar i) / sigma Ni,90119.96564,,,,,,,
,,,,,,,,,,
,SST,35524400000000.00,,,,,,,,
,SSA,9432987753.00,,,,,,,,
,SSE,35515000000000.00,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Source of Variation,Sum of Squares ,Degree of Freedom,Mean Squares,Computed F-test,,,,,
,Treatment,9432987753,7,1347569679,1.14,,,,,
,Error,3.55E+13,29992,1184148571,,,,,,
,Total,3.55E+13,29999,,,,,,,
,,,,,,,,,,
,F critical ,2.01,,,,,,,,
